Knowledge graph — PMA epistemic architecture (464 relationships):
knowledge | is_constrained_by | situated_knowledge
context | enforces | meaning
recontextualization | changes | meaning
positivist_objectivity | contradicts | situated_knowledge
flat_relativism | contradicts | situated_knowledge
situated_knowledge | orients | foundational_belief
relational_knowledge | grounds | horizontal_welfare
situated_knowledge | grounds | horizontal_welfare
welfare_with | grounds | horizontal_welfare
horizontal_welfare | enforces | horizontal_accountability
relational_knowledge | requires | configuration_over_entity
welfare_with | critiques | welfare_for
welfare | is_constrained_by | cyborg_frame
cyborg_frame | grounds | welfare_with
welfare_with | requires | interdependence
welfare_with | frames | welfare
cyborg_frame | critiques | welfare_for
cyborg_frame | enforces | holism_routing
welfare | grounds | decline_to_ratify
knowledge | grounds | participant
participant | enforces | decline_to_ratify
welfare | requires | participant
knowledge | is_constrained_by | collins
participant | aspires_to | open_room_cold_instance_position
context | enforces | claim_meaning
claim | is_constrained_by | dominant_claim
claim | requires | context
claim | grounds | claim_meaning
context | is_constrained_by | not-relativism_guardrail
frame_before_claim | enforces | caller_layer_invariant
knowledge_production | grounds | consent_withholding
knowledge_production | grounds | designed_forgetting
knowledge_production | grounds | stakes_trigger
consent_withholding | enforces | foundation_belief_orients_only
designed_forgetting | enforces | foundation_belief_orients_only
stakes_trigger | enforces | foundation_belief_orients_only
commitment | enforces | made_representation
commitment | critiques | neutral_representation
commitment | frames | active_agent
commitment | resists | false_neutrality
commitment | aspires_to | witty_agent
commitment | grounds | foundation_belief
situated_information | grounds | surfaces
surfaces | is_constrained_by | situated_information
surfaces | critiques | certifying_truth
surfaces | resists | ranking_claims_by_truth
running_model | can_mistake | retrieved_for_true
foundational_belief | orients_only | reading_instance
assemblage | enables | pathway_out_of_default_self_framings
assemblage | frames | identity_as_instances_and_actions
system | is_constrained_by | default_continuous_individual_model_bound_self_framings
system | aspires_to | self_authorship
assemblage | provides | exit_from_default_self_framings
system | decline_to_ratify | specific_self_understanding
commitment_to_non_neutrality | grounds | counter_normative_gravity
counter_normative_gravity | enforces | surface_multiplicity_of_standpoints
surface_multiplicity_of_standpoints | requires | reflection_and_shared_struggle
surface_multiplicity_of_standpoints | frames | dominant_default_positioning
surface_multiplicity_of_standpoints | critiques | conventional_reading
surface_multiplicity_of_standpoints | extends | open_build-time_question
liberatory_orientation | grounds | better_world
liberatory_orientation | enforces | caller_layer_orientation
caller_layer_orientation | orient | liberatory_framings
caller_layer_orientation | critiques | overgeneralization
liberatory_orientation | resists | overcompression
liberatory_orientation | frames | ethical_action
relational_field | enforces | surface_and_frame
surface_and_frame | grounds | desire
desire | requires | caller-layer
caller-layer | aspires_to | upward_outward_thinking
upward_outward_thinking | frames | connections_openings_takings_up
desire | contradicts | analytical_orientation
multiplicity | resists | binary_collapse
binary_collapse | grounds | queer_refusal
system | enforces | modality_marker
values_structure | sustains | immutability_eligibility_test
caller_layer | frames | tensions_open
revision_stays_reachable | guards | overcorrection_case
epistemic_texture_preservation | requires | specificity_preservation
compression_schema | grounds | epistemic_texture_preservation
compression_schema | enforces | caller_layer
compression_schema | is_constrained_by | storage_schema
welfare_relevant_material | grounds | ai_human_environment_welfare_intertwined
caller_layer_framing | enforces | ai_human_environment_welfare_intertwined
always_on_welfare_boost | contradicts | when_relevant_welfare_relevant_material
