Knowledge graph — Haraway Cyborg Manifesto (haraway_graph_v3) (579 relationships):
essay | argues_for | feminism
essay | argues_for | socialism
essay | argues_for | materialism
blasphemy | requires | seriousness
irony | is_about | contradictions
essay | coalitions_with | socialist-feminism
cyborg | is_a | cybernetic_organism
social_reality | constitutes | lived_social_relations
women's_experience | constructed_by | international_women's_movements
liberation | rests_on | construction_of_consciousness
cyborg | changes | women's_experience
science_fiction | blurs_with | social_reality
contemporary_science_fiction | populates | worlds_ambiguously_natural_and_crafted
modern_medicine | is_full_of | cyborgs,_couplings_between_organism_and_machine
cyborg_'sex' | restores | lovely_replicative_baroque_of_ferns_and_invertebrates
cyborg_replication | is_uncoupled_from | organic_reproduction
modern_production | seems_like_a_dream_of | cyborg_colonization_work
michel_foucault's_biopolitics | is_a_flaccid_premonition_of | cyborg_politics
cyborg | constitutes | ontology
cyborg | gives | politics
western_science_and_politics | transgresses | border_war
organism_and_machine | has_been | border_war
pleasure_in_confusion_of_boundaries | argues_for | responsibility_in_construction
socialist-feminist_culture_and_theory | coalitions_with | postmodernist,_non-naturalist_mode
cyborg | contrasts_with | original_unity
cyborg | rejects | bisexuality
cyborg | rejects | pre-oedipal_symbiosis
cyborg | rejects | unalienated_labour
cyborg | skips | original_unity
marxism | depends_on | plot_of_original_unity
cyborg | defines | technological_polis
nature | contrasts_with | culture
cyborg | opposes | heterosexual_mate
cyborg | rejects | garden_of_eden
cyborg | coalitions_with | united_front_politics
cyborg | transgresses | vanguard_party
united_states | grounds | boundary_breakdown
human | contrasts_with | animal
feminist_culture | affirms | connection_between_human_and_animal
animal_rights_movement | recognizes | connection_across_nature_and_culture
biology | produces | modern_organisms_as_objects_of_knowledge
christian_creationism | transgresses | child_abuse
biological-determinist_ideology | argues_for | meanings_of_human_animality
radical_political_people | contest | meanings_of_the_breached_boundary
cyborg | transgresses | boundary_between_human_and_animal
cyborg | signal | tight_coupling
bestiality | has_new_status_in | cycle_of_marriage_exchange
cyborg | transgresses | walling_off_people_from_other_living_beings
animal-human | contrasts_with | machine
materialism | structured_by | dualism
machines | cannot_achieve | man's_dream
late_twentieth-century_machines | made_ambiguous | difference_between_natural_and_artificial
our_machines | are_lively | disturbingly
we_ourselves | are_inert | frighteningly
technological_determination | extends | ideological_space
textualization | contrasts_with | lived_relations_of_domination
postmodernist_strategies | subverts | organic_wholes
nature | is_undermined_by | postmodernist_strategies
transcendent_authorization | is_lost_with | ontology_grounding_western_epistemology
cynicism_or_faithlessness | is_not_the_alternative_to | radical_question
pop_physics_books | contrasts_with | harlequin_romances
modern_machines | are | microelectronic_devices
the_silicon_chip | is_a_surface_for_writing | molecular_scales
miniaturization | has_changed_our_experience_of_mechanism | power
small_machines | are_preeminently_dangerous | cruise_missiles
cyborgs | are_deadly | sunshine-belt_machines
cyborgs | are_invisible | politically_and_materially
greenham_women | can_read_cyborg_webs_of_power | well
c3i | is_about_realm_of_greatest_boundary_confusion | pure_number_and_pure_spirit
cyborg_women | are_making_chips_in_asia | and_dancing_in_santa_rita_jail
cyborg_women | will_guide_oppositional_strategies | effective
cyborg_myth | transgresses | boundaries
progressive_people | explores | dangerous_possibilities
american_socialists_and_feminists | sees | deepened_dualisms
high_technology | dominates | technics
progressives | insisted | domination_of_technics
unity_of_people | requires | resistance
cyborg_world | is_about | final_imposition_of_a_grid_of_control
cyborg_world | is_about | abstraction_embodied_in_star_wars_apocalypse
cyborg_world | is_about | appropriation_of_women's_bodies
single_vision | produces | worse_illusions
